COD_ESCOLA;SITUACAO_FUNCIONAMENTO;TIPO_LOCALIZACAO;TIPO_REDE;ENDERECO_BAIRRO;MUNICIPIO;ESTADO;CEP;LATITUDE;LONGITUDE;QT_SALAS_EXISTENTES;QT_SALAS_UTILIZADAS;QT_MAT_INF;QT_MAT_FUND_AI;QT_MAT_FUND_AF;QT_MAT_MED;QT_MAT_EJA;QT_MAT_PROF;QT_MAT_ESP;QT_DOC_INF;QT_DOC_FUND_AI;QT_DOC_FUND_AF;QT_DOC_MED;QT_DOC_EJA;QT_DOC_PROF;QT_TUR_INF;QT_TUR_FUND_AI;QT_TUR_FUND_AF;QT_TUR_MED;QT_TUR_EJA;QT_TUR_PROF
41133145;Em Atividade;Urbana;Estadual;ABRANCHES;Curitiba;PR;82220150;-25.37196;-49.26804;null;12;0;0;157;323;0;24;37;0;0;20;33;0;14;0;0;8;12;0;1
41162161;Paralisada;Urbana;Privada;BAIRRO ALTO;Curitiba;PR;82820090;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
41133781;Em Atividade;Urbana;Estadual;CIC;Curitiba;PR;81270102;-25.457106;-49.34898;null;19;0;0;581;520;0;36;58;0;0;38;39;0;13;0;0;19;15;0;1
41157800;Em Atividade;Urbana;Privada;REBOUCAS;Curitiba;PR;80230010;-25.439333;-49.271347;null;15;0;0;0;0;0;1289;5;0;0;0;0;0;36;0;0;0;0;0;70
41128931;Em Atividade;Urbana;Municipal;SITIO CERCADO;Curitiba;PR;81920070;-25.5403;-49.25133;null;17;25;437;0;0;13;0;30;4;29;0;0;1;0;1;16;0;0;2;0
41127285;Em Atividade;Urbana;Municipal;TATUQUARA;Curitiba;PR;81940080;-25.550781;-49.29462;null;17;37;411;0;0;0;0;17;10;29;0;0;0;0;2;16;0;0;0;0
41377540;Em Atividade;Urbana;Privada;SAO FRANCISCO;Curitiba;PR;80020150;-25.42796;-49.27185;null;5;0;0;0;63;0;0;0;0;0;0;14;0;0;0;0;0;3;0;0
41387201;Paralisada;Urbana;Privada;UBERABA;Curitiba;PR;81560460;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
41127269;Em Atividade;Urbana;Municipal;TARUMA;Curitiba;PR;82821020;-25.42584;-49.21484;null;7;0;420;0;0;0;0;11;0;22;0;0;0;0;0;14;0;0;0;0
41132920;Paralisada;Urbana;Estadual;CENTRO;Curitiba;PR;80250042;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
41133358;Em Atividade;Urbana;Estadual;UBERABA;Curitiba;PR;81570160;-25.481974;-49.227047;null;40;0;0;786;525;0;37;45;0;0;39;34;0;13;0;0;24;14;0;1
41390075;Em Atividade;Urbana;Privada;CAMPO COMPRIDO;Curitiba;PR;81210370;-25.44412;-49.339973;null;16;30;117;67;0;0;0;3;3;14;19;0;0;0;3;5;4;0;0;0
41356071;Em Atividade;Urbana;Municipal;PILARZINHO;Curitiba;PR;82110230;-25.389181;-49.294563;null;3;64;0;0;0;0;0;2;8;0;0;0;0;0;2;0;0;0;0;0
41152417;Em Atividade;Urbana;Privada;UBERABA;Curitiba;PR;81560360;-25.495981;-49.216408;null;7;51;0;0;0;0;0;1;3;0;0;0;0;0;4;0;0;0;0;0
41130944;Em Atividade;Urbana;Municipal;SANTA QUITERIA;Curitiba;PR;80310150;-25.463013;-49.304317;null;19;20;395;0;0;0;0;25;5;26;0;0;0;0;1;15;0;0;0;0
41129130;Em Atividade;Urbana;Estadual;CENTRO;Curitiba;PR;80010050;-25.433512;-49.27421;null;40;0;0;386;608;0;316;85;0;0;34;64;0;37;0;0;15;22;0;11
41387406;Paralisada;Urbana;Privada;MERCES;Curitiba;PR;80410001;-25.430376;-49.28073;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
41133323;Em Atividade;Urbana;Municipal;AGUA VERDE;Curitiba;PR;80240120;-25.452724;-49.28166;null;8;0;383;0;0;0;0;11;0;23;0;0;0;0;0;15;0;0;0;0
41158415;Em Atividade;Urbana;Municipal;TATUQUARA;Curitiba;PR;81470362;-25.580292;-49.33667;null;6;122;0;0;0;0;0;0;21;0;0;0;0;0;6;0;0;0;0;0
41146212;Em Atividade;Urbana;Estadual;BOQUEIRAO;Curitiba;PR;81650040;-25.499504;-49.2348;null;12;0;0;0;0;428;0;31;0;0;0;0;34;0;0;0;0;0;17;0
41130430;Em Atividade;Urbana;Municipal;BOQUEIRAO;Curitiba;PR;81730360;-25.509874;-49.22839;null;32;93;381;0;0;0;0;26;9;30;0;0;0;0;4;17;0;0;0;0
41531876;Em Atividade;Urbana;Estadual;SITIO CERCADO;Curitiba;PR;81925540;-25.550236;-49.26893;null;38;0;0;903;432;106;65;41;0;0;43;35;16;15;0;0;30;13;5;2
41360257;Em Atividade;Urbana;Privada;CIDADE INDUSTRIAL;Curitiba;PR;81270070;-25.45284;-49.353256;null;5;83;0;0;0;0;0;1;5;0;0;0;0;0;5;0;0;0;0;0
41159551;Em Atividade;Urbana;Privada;REBOUCAS;Curitiba;PR;80230060;-25.447191;-49.265583;null;17;0;0;296;148;0;0;3;0;0;19;17;0;0;0;0;11;5;0;0
41130154;Em Atividade;Urbana;Municipal;UBERABA;Curitiba;PR;81530590;-25.472265;-49.22737;null;8;49;421;0;0;0;0;11;7;26;0;0;0;0;2;14;0;0;0;0
41128036;Em Atividade;Urbana;Municipal;GANCHINHO;Curitiba;PR;81935420;-25.572338;-49.259636;null;6;72;215;0;0;0;0;9;6;21;0;0;0;0;3;9;0;0;0;0
41151259;Em Atividade;Urbana;Municipal;REBOUCAS;Curitiba;PR;80215010;-25.444172;-49.259182;null;6;119;0;0;0;0;0;4;20;0;0;0;0;0;6;0;0;0;0;0
41160096;Em Atividade;Urbana;Privada;MOSSUNGUE;Curitiba;PR;81200070;-25.43462;-49.326923;null;3;119;0;0;0;0;0;1;11;0;0;0;0;0;9;0;0;0;0;0
41537904;Em Atividade;Urbana;Municipal;ALTO DA GLORIA;Curitiba;PR;80030000;-25.417772;-49.26338;null;14;70;358;0;0;0;0;15;9;26;0;0;0;0;3;13;0;0;0;0
